,##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
1,30,"30 Carman,Jackie",*,32,5-13,3-9,1-2,1-3,4,1,2,2,0,1,14
2,14,"14 Hatton,Lilly",*,26,4-7,0-1,5-8,1-3,4,1,2,2,0,2,13
3,12,"12 McDavid,Jamari",*,27,3-8,0-0,6-6,5-2,7,1,0,0,0,1,12
4,02,"02 Lutz,Niyah",*,27,5-12,1-3,0-0,2-3,5,1,0,1,0,0,11
5,32,"32 Harris,Alea",*,25,0-3,0-1,0-0,0-0,0,1,4,2,0,1,0
6,23,"23 Cook,Lawren",,21,3-10,0-6,0-0,1-2,3,2,1,0,0,0,6
7,21,"21 Tomlin,Alexis",,14,1-3,0-0,4-5,3-4,7,1,0,0,1,0,6
8,11,"11 Turner,MaryMartha",,13,2-3,1-2,0-0,1-3,4,0,0,1,0,0,5
9,05,"05 Matthews,Helen",,15,1-4,1-3,0-0,1-4,5,0,2,3,0,0,3
10,TM,TM TEAM,,0,0-0,0-0,0-0,2-0,2,0,0,0,0,0,0
11,,Totals,-,200,24-63,6-25,16-21,17-24,41,8,11,11,1,5,70
1,01,"01 Wanink,Chloe",*,38,10-21,8-17,0-0,2-5,7,1,2,2,0,1,28
2,35,"35 Green,Da'Ja",*,33,9-15,5-8,2-2,1-2,3,2,3,2,0,0,25
3,10,"10 Booker,Cairo",*,37,4-9,0-3,5-6,0-2,2,3,6,2,0,4,13
4,12,"12 McDavid,Jamari",*,25,2-8,0-0,3-4,4-4,8,4,0,3,1,0,7
5,14,"14 Hatton,Lilly",*,20,1-6,0-0,2-2,0-2,2,4,0,0,2,0,4
6,23,"23 Cook,Lawren",,14,0-1,0-0,5-6,2-3,5,4,0,4,0,1,5
7,21,"21 Tomlin,Alexis",,15,0-2,0-0,0-0,1-2,3,5,1,0,0,0,0
8,02,"02 Lutz,Niyah",,10,0-2,0-2,0-0,0-2,2,1,1,0,0,0,0
9,25,"25 Grob,Jamie",,5,0-0,0-0,0-0,0-0,0,2,0,1,0,0,0
10,20,"20 Pulanco,Elena",,3,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0
11,TM,TM TEAM,,0,0-0,0-0,0-0,2-0,2,0,0,0,0,0,0
12,,Totals,-,200,26-64,13-30,17-20,12-22,34,26,13,15,3,6,82
1,01,"01 Wanink,Chloe",*,36,5-12,3-5,0-0,0-4,4,1,1,0,0,0,13
2,35,"35 Green,Da'Ja",*,24,5-13,1-5,0-2,1-3,4,3,6,5,0,0,11
3,12,"12 McDavid,Jamari",*,25,4-11,0-2,0-0,5-5,10,4,1,3,0,0,8
4,10,"10 Booker,Cairo",*,30,2-9,0-1,2-2,3-4,7,1,2,6,0,1,6
5,14,"14 Hatton,Lilly",*,24,1-10,0-0,0-0,5-2,7,5,0,0,2,2,2
6,02,"02 Lutz,Niyah",,14,3-7,1-2,0-0,2-3,5,1,2,0,0,0,7
7,21,"21 Tomlin,Alexis",,16,3-7,0-0,0-0,2-2,4,3,0,0,0,0,6
8,23,"23 Cook,Lawren",,11,2-2,1-1,0-0,0-1,1,2,0,0,0,0,5
9,20,"20 Pulanco,Elena",,16,1-4,0-1,2-3,1-0,1,0,1,0,0,1,4
10,11,"11 Turner,MaryMartha",,4,1-1,1-1,0-0,0-1,1,1,0,1,0,0,3
11,32,"32 Harris,Alea",,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
12,TM,TM TEAM,,0,0-0,0-0,0-0,1-0,1,0,0,0,0,0,0
13,,Totals,-,200,27-76,7-18,4-7,20-25,45,21,13,15,2,4,65
1,01,"01 Wanink,Chloe",*,38,6-17,2-10,9-10,0-3,3,3,0,1,0,0,23
2,10,"10 Booker,Cairo",*,30,3-7,0-2,1-2,0-1,1,2,2,5,0,2,7
3,12,"12 McDavid,Jamari",*,28,3-11,0-1,0-2,3-3,6,1,0,2,1,0,6
4,14,"14 Hatton,Lilly",*,27,2-4,0-0,2-2,1-8,9,3,1,2,1,2,6
5,35,"35 Green,Da'Ja",*,40,1-11,0-5,0-0,1-2,3,3,5,7,0,0,2
6,21,"21 Tomlin,Alexis",,13,3-4,0-0,1-2,4-0,4,2,1,2,0,1,7
7,23,"23 Cook,Lawren",,12,0-2,0-1,2-2,0-0,0,1,1,1,0,0,2
8,02,"02 Lutz,Niyah",,6,0-2,0-0,0-0,0-2,2,3,0,0,0,0,0
